channel_id,title,description,creation_date,subscriber_count,total_views,total_videos,country,language,created_at,updated_at
UCakdSIPsJqiOLqylgoYmwQg,itversity,"🚨 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘 𝘁𝗼 𝗹𝗲𝗮𝗿𝗻 𝗗𝗔𝗧𝗔 𝗘𝗡𝗚𝗜𝗡𝗘𝗘𝗥𝗜𝗡𝗚 𝗼𝗻 𝗖𝗟𝗢𝗨𝗗 🎯

A free one-stop shop to learn all tips and techniques about all technologies catering to a wide array of IT professionals or aspirants. At this time focused on Data Engineering on the cloud (Azure, AWS, and GCP)
Our Offering:
* Training Services
* Digital Marketing Services
* Lab Services
* Placement Assistance Services

#DataEngineering #CloudComputing #AWS #Azure #GCP #devops
",2014-03-07,68300,9806790,3546,US,N/A,2025-01-10T12:29:45.070028,2025-01-10T12:29:45.070028
UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,"The official YouTube channel for Amazon Web Services (AWS). 

Amazon Web Services offers a complete set of infrastructure and application services that enable you to run virtually everything in the cloud: from enterprise applications and big data projects to social games and mobile apps. Explore how millions of customers — including the fastest-growing startups, largest enterprises, and leading government agencies — are using AWS to lower costs, become more agile, and innovate faster. 

Subscribe to AWS: https://go.aws/subscribe

Sign up for AWS: https://go.aws/signup 
AWS free tier: https://go.aws/free 
Explore more: https://go.aws/more
Contact AWS: https://go.aws/contact
",2009-04-08,784000,191062291,17215,US,N/A,2025-01-10T12:29:45.296795,2025-01-10T12:29:45.296795
UCz9g1Uhx8FunUEWeRpaj85w,Databricks,,2011-07-21,23,0,0,N/A,N/A,2025-01-10T12:29:45.557348,2025-01-10T12:29:45.557348
UCHCThmyZ-2yWkv0UVeBDdnQ,Oracle,"Save the date for Oracle CloudWorld Tour 2025: https://social.ora.cl/6009qlASS 

We’re a cloud technology company that provides organizations around the world with computing infrastructure and software to help them innovate, unlock efficiencies and become more effective. We also created the world’s first–and only–autonomous database to help organize and secure our customers’ data. From nonprofits to companies of all sizes, millions of people use our tools to streamline supply chains, make HR more human, quickly pivot to a new financial plan, and connect data and people around the world.  
 
Contact Oracle Sales - https://social.ora.cl/6004zuD5G
Oracle - https://social.ora.cl/600258yuQ
Join us at Oracle CloudWorld - https://social.ora.cl/6009ejskz
Try Oracle Cloud for free: https://social.ora.cl/6002ejsxs
Oracle Events: https://social.ora.cl/60075XCsd
Oracle Support: https://social.ora.cl/600458GnE
Oracle's Communities: https://social.ora.cl/60035BCrX

",2005-11-12,143000,38119517,4620,N/A,N/A,2025-01-10T12:29:45.805899,2025-01-10T12:29:45.805899
UC0m-80FnNY2Qb7obvTL_2fA,Microsoft Azure,"Welcome to the official Microsoft Azure channel. Subscribe and be the first to learn about the latest solutions, watch training demos, and be empowered to deliver limitless innovation. 

Microsoft YouTube Community Guidelines:  
1. Avoid explicit and inflammatory language.  
2. Do not post repetitively nor spam our comment section. 
3. Avoid posting personal information, such as email, physical address, personal phone number, credit card information, or your site password. 
4. Please report posts that violate community guidelines using the spam button or YouTube’s Reporting and Enforcement Center. 
",2008-11-21,332000,21926711,1299,US,N/A,2025-01-10T12:29:46.137221,2025-01-10T12:29:46.137221
UCs10x-muRrTQMJ4Ya-fmIlw,Snowflake Inc.,"Snowflake enables every organization to mobilize their data with Snowflake’s Data Cloud. Customers use the Data Cloud to unite siloed data, discover and securely share data, and execute diverse analytic workloads. Wherever data or users live, Snowflake delivers a single data experience that spans multiple clouds and geographies. Thousands of customers across many industries, including 241 of the 2021 Fortune 500 and 488 of the 2021 Forbes Global 2000 (G2K) as of January 31, 2022, use Snowflake Data Cloud to power their businesses. Learn more at www.snowflake.com.

",2014-10-20,46800,4085005,931,US,N/A,2025-01-10T12:29:46.457579,2025-01-10T12:29:46.457579
UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,"Welcome to the official YouTube channel for Google Cloud’s technical community. Explore our how-to videos, see exciting demos, stay up to date with product news, and find new developer tools helping you build what’s next.
",2014-07-21,1190000,101616163,5112,US,N/A,2025-01-10T12:29:46.706155,2025-01-10T12:29:46.706155
